x,y,z,size,color
5.1,3.5,1.4,0.437086107,0xff0000
4.9,3,1.4,0.955642876,0x0000ff
4.7,3.2,1.3,0.758794548,0xffff00
4.6,3.1,1.5,0.638792636,0xff0000
5,3.6,1.4,0.240416776,0xffff00
5.4,3.9,1.7,0.240395068,0x0000ff
4.6,3.4,1.4,0.152275251,0x0000ff
5,3.4,1.5,0.879558531,0xff0000
4.4,2.9,1.4,0.641003511,0xffff00
4.9,3.1,1.5,0.73726532,0x0000ff
5.4,3.7,1.5,0.118526045,0x0000ff
4.8,3.4,1.6,0.972918867,0xffff00
4.8,3,1.4,0.849198377,0xffff00
4.3,3,1.1,0.2911052,0xffff00
5.8,4,1.2,0.26364247,0xff0000
5.7,4.4,1.5,0.265064059,0x0000ff
5.4,3.9,1.3,0.373818019,0xff0000
5.1,3.5,1.4,0.572280788,0x0000ff
5.7,3.8,1.7,0.488750517,0xff0000
5.1,3.8,1.5,0.362106226,0xff0000
5.4,3.4,1.7,0.650667605,0x0000ff
5.1,3.7,1.5,0.225544475,0x0000ff
4.6,3.6,1,0.362930184,0xffff00
5.1,3.3,1.7,0.429725659,0x0000ff
4.8,3.4,1.9,0.510462986,0xffff00
5,3,1.6,0.806658365,0xff0000
5,3.4,1.6,0.279706404,0xffff00
5.2,3.5,1.5,0.562810995,0xff0000
5.2,3.4,1.4,0.633173112,0xff0000
4.7,3.2,1.6,0.141805371,0xff0000
4.8,3.1,1.6,0.646790367,0xff0000
5.4,3.4,1.5,0.253471711,0x0000ff
5.2,4.1,1.5,0.158546434,0x0000ff
5.5,4.2,1.4,0.953996984,0x0000ff
4.9,3.1,1.5,0.96906883,0xff0000
5,3.2,1.2,0.827557613,0xffff00
5.5,3.5,1.3,0.374152392,0x0000ff
4.9,3.1,1.5,0.187904903,0x0000ff
4.4,3,1.3,0.715809724,0x0000ff
5.1,3.4,1.5,0.496137244,0x0000ff
5,3.5,1.3,0.209834411,0xff0000
4.5,2.3,1.3,0.545659219,0x0000ff
4.4,3.2,1.3,0.130949669,0xff0000
5,3.5,1.6,0.918388362,0xffff00
5.1,3.8,1.9,0.332901983,0xff0000
4.8,3,1.4,0.696270056,0x0000ff
5.1,3.8,1.6,0.380539968,0xffff00
4.6,3.2,1.4,0.568061219,0x0000ff
5.3,3.7,1.5,0.592039251,0xff0000
5,3.3,1.4,0.26636901,0xffff00
7,3.2,4.7,0.972626165,0xffff00
6.4,3.2,4.5,0.797619541,0xffff00
6.9,3.1,4.9,0.945549047,0x0000ff
5.5,2.3,4,0.905344615,0xffff00
6.5,2.8,4.6,0.638109981,0x0000ff
5.7,2.8,4.5,0.929686812,0xffff00
6.3,3.3,4.7,0.179643252,0xffff00
4.9,2.4,3.3,0.276384576,0x0000ff
6.6,2.9,4.6,0.14070456,0xffff00
5.2,2.7,3.9,0.392797298,0xffff00
5,2,3.5,0.449809561,0xff0000
5.9,3,4.2,0.344214129,0xffff00
6,2.2,4,0.845863758,0x0000ff
6.1,2.9,4.7,0.421077994,0xffff00
5.6,2.9,3.6,0.352841059,0xffff00
6.7,3.1,4.4,0.588426475,0x0000ff
5.6,3,4.5,0.226831802,0xff0000
5.8,2.7,4.1,0.821977283,0x0000ff
6.2,2.2,4.5,0.167095579,0xff0000
5.6,2.5,3.9,0.988198243,0x0000ff
5.9,3.2,4.8,0.795020292,0x0000ff
6.1,2.8,4,0.278844113,0xffff00
6.3,2.5,4.9,0.104969905,0x0000ff
6.1,2.8,4.7,0.833915286,0xffff00
6.4,2.9,4.3,0.736171609,0x0000ff
6.6,3,4.4,0.756106451,0xffff00
6.8,2.8,4.8,0.794143312,0x0000ff
6.7,3,5,0.166640187,0xff0000
6,2.9,4.5,0.422619156,0xffff00
5.7,2.6,3.5,0.204282154,0xff0000
5.5,2.4,3.8,0.876793083,0x0000ff
5.5,2.4,3.7,0.660968314,0xff0000
5.8,2.7,3.9,0.397808222,0x0000ff
6,2.7,5.1,0.157202515,0xff0000
5.4,3,4.5,0.37988409,0xffff00
6,3.4,4.5,0.39266499,0xff0000
6.7,3.1,4.7,0.756645561,0x0000ff
6.3,2.3,4.4,0.673801724,0xff0000
5.6,3,4.1,0.898491468,0xff0000
5.5,2.5,4,0.524993433,0x0000ff
5.5,2.6,4.4,0.207634821,0x0000ff
6.1,3,4.6,0.741920309,0xffff00
5.8,2.6,4,0.784706544,0xff0000
5,2.3,3.3,0.605149478,0xffff00
5.6,2.7,4.2,0.793870462,0x0000ff
5.7,3,4.2,0.544416037,0xffff00
5.7,2.9,4.2,0.570459546,0xffff00
6.2,2.9,4.3,0.484786917,0xffff00
5.1,2.5,3,0.122877214,0x0000ff
5.7,2.8,4.1,0.197102284,0xff0000
6.3,3.3,6,0.128286267,0xff0000
5.8,2.7,5.1,0.67276937,0xff0000
7.1,3,5.9,0.382920383,0xff0000
6.3,2.9,5.6,0.557713622,0xffff00
6.5,3,5.8,0.916809827,0xff0000
7.6,3,6.6,0.324363006,0xff0000
4.9,2.5,4.5,0.469344631,0x0000ff
7.3,2.9,6.3,0.779996025,0x0000ff
6.7,2.5,5.8,0.305918349,0xffff00
7.2,3.6,6.1,0.169281919,0xff0000
6.5,3.2,5.1,0.360776308,0xff0000
6.4,2.7,5.3,0.245099159,0x0000ff
6.8,3,5.5,0.936727887,0x0000ff
5.7,2.5,5,0.827308342,0xffff00
5.8,2.8,5.1,0.670063381,0x0000ff
6.4,3.2,5.3,0.884314531,0x0000ff
6.5,3,5.5,0.823304869,0x0000ff
7.7,3.8,6.7,0.267913053,0xff0000
7.7,2.6,6.9,0.903303099,0xffff00
6,2.2,5,0.585408018,0x0000ff
6.9,3.2,5.7,0.82669614,0xffff00
5.6,2.8,4.9,0.90648217,0x0000ff
7.7,2.8,6.7,0.386203127,0x0000ff
6.3,2.7,4.9,0.199046732,0xffff00
6.7,3.3,5.7,0.305141646,0xffff00
7.2,3.2,6,0.48439701,0x0000ff
6.2,2.8,4.8,0.836213289,0x0000ff
6.1,3,4.9,0.874657525,0xffff00
6.4,2.8,5.6,0.106256917,0x0000ff
7.2,3,5.8,0.559672572,0xffff00
7.4,2.8,6.1,0.475669903,0x0000ff
7.9,3.8,6.4,0.299897029,0x0000ff
6.4,2.8,5.6,0.207878831,0x0000ff
6.3,2.8,5.1,0.403853654,0xff0000
6.1,2.6,5.6,0.948618734,0x0000ff
7.7,3,6.1,0.390882639,0x0000ff
6.3,3.4,5.6,0.56691156,0x0000ff
6.4,3.1,5.5,0.732717063,0xffff00
6,3,4.8,0.427266642,0xff0000
6.9,3.1,5.4,0.974603874,0x0000ff
6.7,3.1,5.6,0.966202565,0xff0000
6.9,3.1,5.1,0.326604066,0xffff00
5.8,2.7,5.1,0.547523655,0xff0000
6.8,3.2,5.9,0.370790479,0xff0000
6.7,3.3,5.7,0.356356445,0x0000ff
6.7,3,5.2,0.133198253,0xffff00
6.3,2.5,5,0.648607901,0xffff00
6.5,3,5.2,0.552411121,0xffff00
6.2,3.4,5.4,0.146330876,0xff0000
5.9,3,5.1,0.350781818,0xffff00
