x,y,z,size,color
5.1,3.5,1.4,0.060636395,0xff0000
4.9,3,1.4,0.018013503,0x0000ff
4.7,3.2,1.3,1.244127242,0xffff00
4.6,3.1,1.5,0.602549935,0xff0000
5,3.6,1.4,1.154864607,0xffff00
5.4,3.9,1.7,1.260221939,0x0000ff
4.6,3.4,1.4,0.960786952,0x0000ff
5,3.4,1.5,0.216058761,0xff0000
4.4,2.9,1.4,0.205906822,0xffff00
4.9,3.1,1.5,1.234831377,0x0000ff
5.4,3.7,1.5,1.796770149,0x0000ff
4.8,3.4,1.6,0.889907712,0xffff00
4.8,3,1.4,1.905203081,0xffff00
4.3,3,1.1,0.299723717,0xffff00
5.8,4,1.2,1.390858549,0xff0000
5.7,4.4,1.5,0.34176776,0x0000ff
5.4,3.9,1.3,0.424205445,0xff0000
5.1,3.5,1.4,1.56323846,0x0000ff
5.7,3.8,1.7,0.260299693,0xff0000
5.1,3.8,1.5,1.586324244,0xff0000
5.4,3.4,1.7,0.742501366,0x0000ff
5.1,3.7,1.5,0.955915449,0x0000ff
4.6,3.6,1,1.316032102,0xffff00
5.1,3.3,1.7,0.146441539,0x0000ff
4.8,3.4,1.9,0.16720732,0xffff00
5,3,1.6,0.854559627,0xff0000
5,3.4,1.6,0.982053143,0xffff00
5.2,3.5,1.5,0.873830322,0xff0000
5.2,3.4,1.4,1.802862981,0xff0000
4.7,3.2,1.6,0.044325158,0xff0000
4.8,3.1,1.6,1.418530447,0xff0000
5.4,3.4,1.5,1.565874059,0x0000ff
5.2,4.1,1.5,1.406048545,0x0000ff
5.5,4.2,1.4,0.341708902,0x0000ff
4.9,3.1,1.5,0.001591474,0xff0000
5,3.2,1.2,0.734929861,0xffff00
5.5,3.5,1.3,1.512154335,0x0000ff
4.9,3.1,1.5,1.588802942,0x0000ff
4.4,3,1.3,1.01661313,0x0000ff
5.1,3.4,1.5,0.097619246,0x0000ff
5,3.5,1.3,0.464865831,0xff0000
