GDP,lex,surface_area_sq_km,pop,Region_Color
1360,64,653000,41500000,0x00ff00
5780,65.9,1250000,36700000,0xffff00
16200,77.3,28800,2810000,0x0000ff
55300,82.9,470,80900,0x0000ff
76500,74.6,98600,10600000,0x00ff00
21800,77.3,2780000,45500000,0xff0000
17500,76.5,29700,2940000,0x0000ff
22400,77,440,93300,0xff0000
51600,83.5,7740000,26500000,0x00ff00
55200,82.8,83900,9130000,0x0000ff
15300,71.5,86600,10300000,0x0000ff
708,64,27800,13700000,0xffff00
53000,82,30500,11700000,0x0000ff
3560,64.5,115000,14100000,0xffff00
2170,62.2,274000,23000000,0xffff00
6560,75.8,148000,171000000,0x00ff00
27600,71.2,111000,6800000,0x0000ff
52700,77.7,790,1570000,0x00ff00
33800,76.8,13900,399000,0xff0000
17200,75.9,51200,3190000,0x0000ff
19900,74.8,208000,9120000,0x0000ff
9700,75.2,23000,411000,0xff0000
8330,73,1100000,12200000,0xff0000
15500,76.7,8520000,211000000,0xff0000
16300,76.8,430,282000,0xff0000
59000,74.2,5770,459000,0x00ff00
12400,74.3,38400,786000,0x00ff00
15600,62.8,582000,2480000,0xffff00
807,52.8,623000,5150000,0xffff00
48200,82.8,15600000,39300000,0xff0000
71200,84.6,41300,8870000,0x0000ff
25800,81,757000,19700000,0xff0000
19200,78.4,9560000,1420000000,0x00ff00
5730,65.1,322000,31200000,0xffff00
3780,63.7,475000,28400000,0xffff00
1190,65.4,2340000,106000000,0xffff00
3200,66,342000,6180000,0xffff00
15700,81,1140000,52300000,0xff0000
3270,69.8,1860,850000,0xffff00
7990,74.6,4030,522000,0xffff00
23000,80.9,51100,5110000,0xff0000
8840,79.4,110000,11000000,0xff0000
43500,81.5,9250,1340000,0x0000ff
40200,80,78900,10800000,0x0000ff
53200,81.8,358000,84500000,0x0000ff
5290,67.5,23200,1150000,0xffff00
11900,73,750,66500,0xff0000
59800,81.7,42900,5950000,0x0000ff
19600,74,147000,11300000,0xff0000
11500,77.1,2380000,46200000,0xffff00
11300,77.2,256000,18000000,0xff0000
13100,70.4,1000000,115000000,0xffff00
2020,63.8,122000,3470000,0xffff00
40300,83.6,506000,47900000,0x0000ff
36400,78.7,45300,1370000,0x0000ff
2470,69.7,1140000,129000000,0xffff00
48500,82.5,338000,5600000,0x0000ff
13300,68.9,18300,924000,0x00ff00
46100,83.5,549000,66400000,0x0000ff
3260,64.3,700,113000,0x00ff00
14000,67.4,268000,2480000,0xffff00
46000,81.7,244000,68700000,0x0000ff
18200,72.4,69700,3810000,0x0000ff
5590,66.1,239000,33800000,0xffff00
2820,61.1,246000,14400000,0xffff00
2180,67.1,11300,2700000,0xffff00
1910,60.6,36100,2150000,0xffff00
13600,66.3,28100,1850000,0xffff00
32500,81.7,132000,10200000,0x0000ff
15200,73.9,340,117000,0xff0000
9350,69.6,109000,18100000,0xff0000
47100,68,215000,826000,0xff0000
58700,0,1110,7440000,0x00ff00
5830,72.7,112000,10600000,0xff0000
35300,79.3,88100,3900000,0x0000ff
2710,64.3,27800,11600000,0xff0000
35300,77.3,93000,9690000,0x0000ff
12900,72,1920000,281000000,0x00ff00
7570,71.9,3290000,1440000000,0x00ff00
104000,82.6,70300,5200000,0x0000ff
16100,78.6,1750000,90600000,0x00ff00
8780,73.8,435000,45100000,0x00ff00
56800,84.6,103000,388000,0x0000ff
44400,83.6,22100,9260000,0x00ff00
44400,83.8,302000,59500000,0x0000ff
10300,76.9,11000,2840000,0xff0000
9510,77.2,89300,11400000,0x00ff00
42600,85.3,378000,124000000,0x00ff00
27300,70.7,2720000,20300000,0x00ff00
5050,66.9,580000,55300000,0xffff00
5440,73.3,200000,7070000,0x00ff00
4730,70.7,181000,17400000,0x00ff00
2100,61.4,810,133000,0x00ff00
30200,72.7,260,46800,0xff0000
46100,83.4,100000,51700000,0x00ff00
46700,82.3,17800,4840000,0x00ff00
8130,70.1,237000,7660000,0x00ff00
13500,73.6,10400,5770000,0x00ff00
1500,67.1,111000,5490000,0xffff00
19800,76.8,1760000,7310000,0xffff00
15800,75.8,620,179000,0xff0000
12100,78.1,65600,23000000,0x00ff00
2290,52.5,30400,2310000,0xffff00
39100,76.9,65300,2850000,0x0000ff
111000,83.5,2590,665000,0x0000ff
33000,76.4,64600,1880000,0x0000ff
8250,74.3,447000,37700000,0xffff00
218000,80.5,90.1,39000,0x0000ff
13600,72.8,33900,3070000,0x0000ff
1530,66,587000,31200000,0xffff00
22200,80,300,526000,0x00ff00
20200,76.5,1960000,130000000,0xff0000
6120,66,180,38800,0x00ff00
17500,72.4,25700,1830000,0x0000ff
2170,62.2,1240000,23800000,0xffff00
48800,83.2,320,533000,0x0000ff
4180,70.3,677000,54100000,0x00ff00
23500,76.6,13800,634000,0x0000ff
12700,69.1,1560000,3430000,0x00ff00
1270,59.5,799000,33600000,0xffff00
5540,70.5,1030000,5020000,0xffff00
24400,76,2010,1270000,0xffff00
1450,64.3,118000,21100000,0xffff00
29000,75.7,330000,35100000,0x00ff00
9820,61.6,824000,2960000,0xffff00
1260,62.5,1270000,26200000,0xffff00
4990,65.5,924000,228000000,0xffff00
6000,76.1,130000,6820000,0xff0000
58000,82.3,41500,18100000,0x0000ff
66900,83.5,625000,5520000,0x0000ff
4030,72.3,147000,29700000,0x00ff00
11100,64.1,20,11900,0x00ff00
44600,82.4,268000,5170000,0x00ff00
35300,74.9,310000,5050000,0x00ff00
5270,66.4,796000,248000000,0x00ff00
35200,80.8,75300,4460000,0xff0000
12600,81.1,1290000,33800000,0xff0000
8920,72.3,300000,115000000,0x00ff00
13800,68.3,460,17700,0x00ff00
3820,65.3,463000,10400000,0x00ff00
38000,78.8,313000,38800000,0x0000ff
1800,73.7,121000,26400000,0x00ff00
36200,82.4,92200,10400000,0x0000ff
14000,77.1,407000,6840000,0xff0000
5290,73.8,6030,5410000,0x00ff00
88800,77,11500,2980000,0x00ff00
33100,74.2,238000,19100000,0x0000ff
28800,73.6,17100000,145000000,0x0000ff
2500,69.6,26300,14000000,0xffff00
48400,75.3,2150000,33300000,0x00ff00
3060,70.7,1880000,50000000,0xffff00
3590,69.3,197000,18100000,0xffff00
104000,85.4,728,5790000,0x00ff00
2420,59.6,28900,800000,0x00ff00
1660,62.3,72300,8460000,0xffff00
9700,76.6,21000,6310000,0xff0000
68800,82.8,60,33700,0x0000ff
1130,58.8,638000,18400000,0xffff00
21500,74.2,85000,6770000,0x0000ff
354,64.4,647000,11500000,0xffff00
3880,71.3,960,231000,0xffff00
15200,73.3,164000,629000,0xff0000
33800,78.2,49000,5520000,0x0000ff
41400,82.1,20500,2120000,0x0000ff
